Category,Scenario,R0,Total Deaths,Peak Infected
Self-Medication,High Trust (γ=0.9),0.15675700646026924,3.893619839051324,2.0
Self-Medication,Moderate (γ=0.5),0.19180724766723733,4.168019351932713,2.0
Self-Medication,High Self-Med (γ=0.1),0.22685748887420543,4.464735713054534,2.0
Surveillance,No Surveillance,0.4152641749803564,5.73948742732527,2.0
Surveillance,Moderate Surveillance,0.2095716009131292,4.315702953403858,2.0
Surveillance,Intensive Surveillance,0.13065724605685436,3.7925627336296657,2.0
Policy Package,Status Quo,0.2678979765568247,4.793318568378138,2.0
Policy Package,Awareness Campaign,0.21679812335894152,4.350924430809066,2.0
Policy Package,Community Surveillance,0.13655631939737908,3.8619471391567064,2.0
Policy Package,Integrated Approach,0.1229213374695187,3.702862039587631,2.0
